requirementId,conformanceClass,resourceClass,property,obligation,minCount,maxCount,range,controlledVocabulary,severity,messages,remediation,sourceStandard,sourceClause,localRationale,shapeId,positiveFixtureId,negativeFixtureId
UPSTREAM-DCATAP-00018A0A468F5441A57F,"[""core"",""dataspace-offering"",""observation"",""quality""]","[""http://www.w3.org/ns/dcat#Dataset""]",http://xmlns.com/foaf/0.1/page,MUST,,,"[""http://xmlns.com/foaf/0.1/Document""]",[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:class 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://xmlns.com/foaf/0.1/page>의 모든 값에 rdf:type <http://xmlns.com/foaf/0.1/Document>를 명시한다. 원문 constraint 값은 변경하지 않는다.,DCAT-AP 3.0.1,"[""https://semiceu.github.io/DCAT-AP/releases/3.0.1#Dataset.documentation""]",DCAT-AP 3.0.1의 sh:class 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/DCAT-AP/releases/3.0.1#dcat:DatasetShape/68388ec47b77212d80036e8a02e9956f5ba0e0f5,UPSTREAM-POS-UPSTREAM-DCATAP-00018A0A468F5441A57F,UPSTREAM-NEG-UPSTREAM-DCATAP-00018A0A468F5441A57F
UPSTREAM-DCATAP-001A204FD7342E786459,"[""core"",""dataspace-offering"",""observation"",""quality""]","[""http://www.w3.org/ns/dcat#CatalogRecord""]",http://xmlns.com/foaf/0.1/primaryTopic,MUST,,1,[],[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:maxCount 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://xmlns.com/foaf/0.1/primaryTopic> 값을 1개 이하로 줄인다. 원문 constraint 값은 변경하지 않는다.,DCAT-AP 3.0.1,"[""https://semiceu.github.io/DCAT-AP/releases/3.0.1#CatalogueRecord.primarytopic""]",DCAT-AP 3.0.1의 sh:maxCount 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/DCAT-AP/releases/3.0.1#dcat:CatalogRecordShape/edc684c84677aa4924b66988491caddda1a1e68b,UPSTREAM-POS-UPSTREAM-DCATAP-001A204FD7342E786459,UPSTREAM-NEG-UPSTREAM-DCATAP-001A204FD7342E786459
UPSTREAM-DCATAP-02785062F1D3AC5C8B6B,"[""core"",""dataspace-offering"",""observation"",""quality""]","[""http://www.w3.org/ns/dcat#Distribution""]",http://data.europa.eu/r5r/applicableLegislation,MUST,,,"[""http://data.europa.eu/eli/ontology#LegalResource""]",[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:class 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://data.europa.eu/r5r/applicableLegislation>의 모든 값에 rdf:type <http://data.europa.eu/eli/ontology#LegalResource>를 명시한다. 원문 constraint 값은 변경하지 않는다.,DCAT-AP 3.0.1,"[""https://semiceu.github.io/DCAT-AP/releases/3.0.1#Distribution.applicablelegislation""]",DCAT-AP 3.0.1의 sh:class 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/DCAT-AP/releases/3.0.1#dcat:DistributionShape/73465b7fbd7f991a08ddd1b766c2e46fa9dfc14e,UPSTREAM-POS-UPSTREAM-DCATAP-02785062F1D3AC5C8B6B,UPSTREAM-NEG-UPSTREAM-DCATAP-02785062F1D3AC5C8B6B
UPSTREAM-DCATAP-0298ED84144EDF81108C,"[""core"",""dataspace-offering"",""observation"",""quality""]","[""http://www.w3.org/ns/dcat#Catalog""]",http://www.w3.org/ns/dcat#record,MUST,,,"[""http://www.w3.org/ns/shacl#BlankNodeOrIRI""]",[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:nodeKind 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://www.w3.org/ns/dcat#record> 값을 <http://www.w3.org/ns/shacl#BlankNodeOrIRI> node kind로 바꾼다. 원문 constraint 값은 변경하지 않는다.,DCAT-AP 3.0.1,"[""https://semiceu.github.io/DCAT-AP/releases/3.0.1#Catalogue.record""]",DCAT-AP 3.0.1의 sh:nodeKind 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/DCAT-AP/releases/3.0.1#dcat:CatalogShape/34db0dabef6e2aa992eab790fc3e8d1e3f83bc12,UPSTREAM-POS-UPSTREAM-DCATAP-0298ED84144EDF81108C,UPSTREAM-NEG-UPSTREAM-DCATAP-0298ED84144EDF81108C
UPSTREAM-DCATAP-02CBC3CD1C51833A09E3,"[""core"",""dataspace-offering"",""observation"",""quality""]","[""http://www.w3.org/ns/dcat#CatalogRecord""]",http://purl.org/dc/terms/source,MUST,,1,[],[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:maxCount 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://purl.org/dc/terms/source> 값을 1개 이하로 줄인다. 원문 constraint 값은 변경하지 않는다.,DCAT-AP 3.0.1,"[""https://semiceu.github.io/DCAT-AP/releases/3.0.1#CatalogueRecord.sourcemetadata""]",DCAT-AP 3.0.1의 sh:maxCount 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/DCAT-AP/releases/3.0.1#dcat:CatalogRecordShape/48302728c90d6c344ff17c41a12e9f1379d2a049,UPSTREAM-POS-UPSTREAM-DCATAP-02CBC3CD1C51833A09E3,UPSTREAM-NEG-UPSTREAM-DCATAP-02CBC3CD1C51833A09E3
UPSTREAM-DCATAP-02EAAB4F59306C798205,"[""core"",""dataspace-offering"",""observation"",""quality""]","[""http://www.w3.org/ns/dcat#Distribution""]",http://www.w3.org/ns/dcat#compressFormat,MUST,,,"[""http://purl.org/dc/terms/MediaType""]",[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:class 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://www.w3.org/ns/dcat#compressFormat>의 모든 값에 rdf:type <http://purl.org/dc/terms/MediaType>를 명시한다. 원문 constraint 값은 변경하지 않는다.,DCAT-AP 3.0.1,"[""https://semiceu.github.io/DCAT-AP/releases/3.0.1#Distribution.compressionformat""]",DCAT-AP 3.0.1의 sh:class 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/DCAT-AP/releases/3.0.1#dcat:DistributionShape/e093e156f972fa1af3526cd6d68f11bbdc8fa7c5,UPSTREAM-POS-UPSTREAM-DCATAP-02EAAB4F59306C798205,UPSTREAM-NEG-UPSTREAM-DCATAP-02EAAB4F59306C798205
UPSTREAM-DCATAP-0426DDE79B4B9C54B19B,"[""core"",""dataspace-offering"",""observation"",""quality""]","[""http://www.w3.org/ns/dcat#DatasetSeries""]",http://purl.org/dc/terms/description,MUST,1,,[],[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:minCount 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://purl.org/dc/terms/description> 값을 1개 이상 제공한다. 원문 constraint 값은 변경하지 않는다.,DCAT-AP 3.0.1,"[""https://semiceu.github.io/DCAT-AP/releases/3.0.1#DatasetSeries.description""]",DCAT-AP 3.0.1의 sh:minCount 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/DCAT-AP/releases/3.0.1#dcat:DatasetSeriesShape/8f61614144aa7bca188b24f5976593dc08aad0e6,UPSTREAM-POS-UPSTREAM-DCATAP-0426DDE79B4B9C54B19B,UPSTREAM-NEG-UPSTREAM-DCATAP-0426DDE79B4B9C54B19B
UPSTREAM-DCATAP-046E822803FA00C49FDE,"[""core"",""dataspace-offering"",""observation"",""quality""]","[""http://www.w3.org/ns/dcat#Distribution""]",http://www.w3.org/ns/dcat#byteSize,MUST,,,"[""http://www.w3.org/ns/shacl#Literal""]",[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:nodeKind 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://www.w3.org/ns/dcat#byteSize> 값을 <http://www.w3.org/ns/shacl#Literal> node kind로 바꾼다. 원문 constraint 값은 변경하지 않는다.,DCAT-AP 3.0.1,"[""https://semiceu.github.io/DCAT-AP/releases/3.0.1#Distribution.bytesize""]",DCAT-AP 3.0.1의 sh:nodeKind 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/DCAT-AP/releases/3.0.1#dcat:DistributionShape/59cbd395c4b9167c030b3fd61001eeeee5034346,UPSTREAM-POS-UPSTREAM-DCATAP-046E822803FA00C49FDE,UPSTREAM-NEG-UPSTREAM-DCATAP-046E822803FA00C49FDE
UPSTREAM-DCATAP-04AD426DBF750E2BBDF2,"[""core"",""dataspace-offering"",""observation"",""quality""]","[""http://www.w3.org/ns/dcat#DataService""]",http://data.europa.eu/r5r/applicableLegislation,MUST,,,"[""http://data.europa.eu/eli/ontology#LegalResource""]",[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:class 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://data.europa.eu/r5r/applicableLegislation>의 모든 값에 rdf:type <http://data.europa.eu/eli/ontology#LegalResource>를 명시한다. 원문 constraint 값은 변경하지 않는다.,DCAT-AP 3.0.1,"[""https://semiceu.github.io/DCAT-AP/releases/3.0.1#DataService.applicablelegislation""]",DCAT-AP 3.0.1의 sh:class 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/DCAT-AP/releases/3.0.1#dcat:DataServiceShape/73465b7fbd7f991a08ddd1b766c2e46fa9dfc14e,UPSTREAM-POS-UPSTREAM-DCATAP-04AD426DBF750E2BBDF2,UPSTREAM-NEG-UPSTREAM-DCATAP-04AD426DBF750E2BBDF2
UPSTREAM-DCATAP-04FFD0CD024D7A267744,"[""core"",""dataspace-offering"",""observation"",""quality""]","[""http://xmlns.com/foaf/0.1/Agent""]",http://xmlns.com/foaf/0.1/name,MUST,1,,[],[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:minCount 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://xmlns.com/foaf/0.1/name> 값을 1개 이상 제공한다. 원문 constraint 값은 변경하지 않는다.,DCAT-AP 3.0.1,"[""https://semiceu.github.io/DCAT-AP/releases/3.0.1#Agent.name""]",DCAT-AP 3.0.1의 sh:minCount 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/DCAT-AP/releases/3.0.1#foaf:AgentShape/96cdcbb0489a41ab01fc39c521f5ed607a0b2c41,UPSTREAM-POS-UPSTREAM-DCATAP-04FFD0CD024D7A267744,UPSTREAM-NEG-UPSTREAM-DCATAP-04FFD0CD024D7A267744
